purchase_id,user_id,product_id,purchased_at,quantity,paid_price
PU00050,U0025,P0065,2026-02-06,1,23898
PU00051,U0026,P0051,2025-12-26,1,35092
PU00052,U0026,P0051,2026-03-04,1,45583
PU00053,U0027,P0111,2025-11-21,1,7715
PU00054,U0027,P0111,2026-02-23,1,7659
PU00055,U0028,P0082,2025-11-08,1,44001
PU00056,U0028,P0082,2026-03-13,1,42669
PU00057,U0029,P0042,2025-12-10,1,42436
PU00058,U0029,P0042,2026-02-08,1,37196
PU00059,U0030,P0089,2025-11-15,1,38233
PU00060,U0030,P0089,2026-03-26,1,34552
PU00061,U0031,P0056,2025-10-17,1,21584
PU00062,U0031,P0056,2026-03-06,1,20799
PU00063,U0032,P0040,2025-11-18,1,36247
PU00064,U0032,P0040,2026-03-17,1,34453
PU00065,U0033,P0066,2025-10-11,1,30010
PU00066,U0033,P0066,2026-03-24,1,27148
PU00067,U0034,P0100,2025-11-17,1,48921
PU00068,U0034,P0100,2026-03-09,1,50123
PU00069,U0035,P0105,2025-12-13,1,8920
PU00070,U0035,P0105,2026-03-16,1,9360
PU00071,U0036,P0023,2025-10-15,1,8930
PU00072,U0036,P0023,2026-03-22,1,8681
PU00073,U0037,P0023,2025-10-12,1,8226
PU00074,U0037,P0023,2026-02-28,1,8463
PU00075,U0038,P0075,2025-11-04,1,22073
PU00076,U0038,P0075,2026-02-16,1,20050
PU00077,U0039,P0082,2025-10-13,1,54582
PU00078,U0039,P0082,2026-03-11,1,51234
PU00079,U0040,P0020,2025-11-05,1,6937
PU00080,U0040,P0020,2026-03-27,1,7262
PU00081,U0041,P0102,2025-11-26,1,26359
PU00082,U0041,P0102,2026-02-22,1,30250
PU00083,U0042,P0040,2025-11-02,1,33033
PU00084,U0042,P0040,2026-03-03,1,36635
PU00085,U0043,P0037,2025-12-22,1,42506
PU00086,U0043,P0037,2026-02-18,1,42408
PU00087,U0044,P0079,2025-10-16,1,40190
PU00088,U0044,P0079,2026-02-27,1,42516
PU00089,U0045,P0102,2025-12-26,1,33715
PU00090,U0045,P0102,2026-03-03,1,30805
PU00091,U0031,P0079,2026-04-17,1,43266
PU00092,U0032,P0049,2026-04-04,1,55146
PU00093,U0033,P0051,2026-03-20,1,38465
PU00094,U0034,P0024,2026-03-27,1,62999
PU00095,U0035,P0012,2026-04-22,1,20739
PU00096,U0036,P0106,2026-04-05,1,47078
PU00097,U0037,P0013,2026-03-22,1,15804
PU00098,U0038,P0098,2026-04-01,1,26860
PU00099,U0039,P0090,2026-04-04,1,7973
PU00100,U0040,P0109,2026-03-20,1,21097
PU00101,U0041,P0106,2026-04-01,1,49339
PU00102,U0042,P0057,2026-03-28,1,43211
PU00103,U0043,P0023,2026-04-25,1,7718
PU00104,U0044,P0089,2026-04-09,1,34516
PU00105,U0045,P0105,2026-03-10,1,10818
PU00106,U0046,P0033,2026-04-08,1,34374
PU00107,U0047,P0116,2026-04-25,1,24213
PU00108,U0048,P0006,2026-03-23,1,36401
PU00109,U0049,P0011,2026-03-28,1,32920
PU00110,U0050,P0103,2026-03-21,1,38620
PU00111,U0051,P0103,2026-04-04,1,43540
PU00112,U0052,P0051,2026-04-18,1,37381
PU00113,U0053,P0012,2026-04-01,1,18084
PU00114,U0054,P0034,2026-04-16,1,44122
PU00115,U0055,P0072,2026-04-07,1,61506
PU00116,U0056,P0079,2026-04-27,1,38498
PU00117,U0057,P0011,2026-04-11,1,28079
PU00118,U0058,P0072,2026-03-31,1,62600
PU00119,U0059,P0009,2026-04-02,1,21935
PU00120,U0060,P0078,2026-04-10,1,30903
PU00121,U0076,P0075,2026-03-12,1,17838
PU00122,U0080,P0093,2025-12-08,1,43228
PU00123,U0073,P0006,2026-05-15,1,33123
PU00124,U0083,P0099,2025-08-07,1,41624
PU00125,U0027,P0099,2025-08-10,1,43561
PU00126,U0082,P0004,2025-09-17,1,38889
PU00127,U0070,P0038,2025-12-26,1,18720
PU00128,U0088,P0052,2025-12-28,1,31081
PU00129,U0089,P0008,2026-03-10,1,22357
PU00130,U0062,P0060,2026-02-14,1,38829
PU00131,U0019,P0041,2025-12-17,1,12602
PU00132,U0045,P0052,2026-03-24,1,33845
PU00133,U0066,P0072,2026-04-05,1,52276
PU00134,U0060,P0016,2026-01-13,1,21991
PU00135,U0019,P0013,2026-05-04,1,13572
PU00136,U0050,P0111,2025-10-27,1,7308
PU00137,U0021,P0105,2025-12-13,1,11309
PU00138,U0093,P0041,2026-02-21,1,12700
PU00139,U0064,P0066,2025-10-02,1,29739
PU00140,U0040,P0064,2026-05-18,1,38625
PU00141,U0051,P0065,2025-10-07,1,28262
PU00142,U0028,P0075,2025-11-30,1,17148
PU00143,U0037,P0064,2025-10-01,1,41071
PU00144,U0002,P0109,2026-04-04,1,21872
PU00145,U0034,P0094,2025-11-23,1,17878
PU00146,U0047,P0006,2025-11-05,1,32799
PU00147,U0072,P0025,2025-11-25,1,26205
PU00148,U0010,P0050,2025-09-13,1,15095
PU00149,U0071,P0036,2026-03-30,1,48885
PU00150,U0013,P0051,2025-11-19,1,44115
PU00151,U0044,P0072,2025-11-23,1,59140
PU00152,U0026,P0078,2025-09-11,1,28911
PU00153,U0006,P0006,2026-05-10,1,33723
PU00154,U0043,P0103,2025-09-29,1,41352
PU00155,U0020,P0078,2025-09-08,1,26688
PU00156,U0079,P0041,2026-03-07,1,11451
PU00157,U0079,P0095,2025-12-27,1,54355
PU00158,U0065,P0107,2025-09-11,1,14129
PU00159,U0091,P0073,2025-12-27,1,22586
PU00160,U0003,P0048,2025-12-11,1,35360
PU00161,U0054,P0075,2025-12-23,1,21356
PU00162,U0093,P0112,2026-05-16,1,49907
PU00163,U0034,P0084,2025-08-06,1,37117
PU00164,U0093,P0007,2025-08-04,1,31324
PU00165,U0068,P0081,2025-11-16,1,37773
PU00166,U0088,P0032,2026-05-13,1,52248
PU00167,U0090,P0015,2026-02-21,1,18490
PU00168,U0041,P0054,2026-03-13,1,36689
PU00169,U0027,P0053,2025-09-15,1,53321
PU00170,U0061,P0112,2026-04-28,1,51417
PU00171,U0067,P0027,2025-08-15,1,46550
PU00172,U0085,P0062,2025-09-02,1,16462
PU00173,U0023,P0059,2025-08-30,1,20889
PU00174,U0046,P0087,2026-01-14,1,11281
PU00175,U0025,P0032,2026-01-07,1,52037
PU00176,U0029,P0039,2026-01-02,1,7872
PU00177,U0089,P0091,2025-09-21,1,47682
PU00178,U0045,P0072,2026-01-09,1,51782
PU00179,U0074,P0087,2025-08-24,1,10561
PU00180,U0051,P0105,2025-12-04,1,11369
PU00181,U0019,P0038,2026-05-08,1,17671
PU00182,U0092,P0011,2025-12-03,1,32863
PU00183,U0084,P0033,2025-09-26,1,32139
PU00184,U0069,P0035,2025-08-15,1,43430
PU00185,U0018,P0014,2026-01-27,1,49447
PU00186,U0086,P0116,2025-08-31,1,25805
PU00187,U0030,P0007,2026-04-08,1,30719
PU00188,U0092,P0061,2026-04-08,1,40953
PU00189,U0018,P0001,2025-08-21,1,45745
PU00190,U0021,P0053,2025-09-28,1,49118
PU00191,U0026,P0097,2026-01-02,1,25739
PU00192,U0083,P0008,2026-04-14,1,23739
PU00193,U0030,P0069,2026-05-10,1,33262
PU00194,U0023,P0054,2026-02-28,1,42289
PU00195,U0005,P0108,2025-11-07,1,43088
PU00196,U0024,P0120,2026-01-01,1,59120
PU00197,U0002,P0039,2025-08-12,1,7655
PU00198,U0043,P0037,2025-10-09,1,43880
PU00199,U0070,P0068,2025-09-19,1,46671
PU00200,U0018,P0109,2025-09-13,1,22108
PU00201,U0025,P0104,2026-04-02,1,29976
PU00202,U0094,P0059,2026-01-18,1,23241
PU00203,U0002,P0095,2025-12-08,1,57335
PU00204,U0073,P0087,2026-02-20,1,9923
PU00205,U0082,P0115,2025-11-03,1,12437
PU00206,U0066,P0042,2026-04-15,1,36558
PU00207,U0013,P0024,2026-03-19,1,54769
PU00208,U0032,P0001,2026-01-16,1,38911
PU00209,U0058,P0097,2026-01-13,1,30643
PU00210,U0039,P0075,2025-08-09,1,16939
PU00211,U0084,P0047,2026-01-29,1,37128
PU00212,U0016,P0060,2025-12-23,1,36731
PU00213,U0088,P0065,2025-12-21,1,26293
PU00214,U0082,P0118,2025-12-29,1,24835
PU00215,U0029,P0029,2026-03-22,1,16086
PU00216,U0059,P0096,2025-11-19,1,10674
PU00217,U0071,P0117,2025-09-30,1,58708
PU00218,U0086,P0106,2026-02-07,1,47023
PU00219,U0088,P0097,2026-04-18,1,27322
PU00220,U0068,P0091,2025-11-25,1,44247
PU00221,U0073,P0015,2026-04-28,1,23451
PU00222,U0065,P0026,2025-08-09,1,33598
PU00223,U0022,P0042,2025-09-05,1,36999
PU00224,U0088,P0027,2025-08-04,1,48843
PU00225,U0066,P0058,2026-05-01,1,39714
PU00226,U0066,P0054,2025-10-08,1,38312
PU00227,U0072,P0060,2025-12-23,1,43283
PU00228,U0051,P0033,2026-05-28,1,37458
PU00229,U0075,P0010,2026-05-06,1,31669
PU00230,U0090,P0009,2025-08-25,1,21967
PU00231,U0009,P0120,2025-09-30,1,46233
PU00232,U0053,P0024,2026-03-21,1,59311
PU00233,U0094,P0083,2025-10-26,1,8857
PU00234,U0049,P0058,2025-11-17,1,38819
PU00235,U0088,P0085,2025-08-26,1,37204
PU00236,U0045,P0016,2026-02-27,1,25454
PU00237,U0051,P0068,2026-03-25,1,44734
PU00238,U0029,P0107,2026-05-28,1,15024
PU00239,U0039,P0060,2025-08-24,1,39805
PU00240,U0049,P0106,2026-02-01,1,40593
PU00241,U0045,P0020,2026-01-08,1,6376
PU00242,U0093,P0098,2026-04-02,1,23878
PU00243,U0085,P0054,2026-05-21,1,34837
PU00244,U0009,P0013,2026-05-12,1,14216
PU00245,U0087,P0091,2026-05-05,1,46643
PU00246,U0006,P0052,2025-10-17,1,29109
PU00247,U0028,P0097,2026-05-01,1,24336
PU00248,U0038,P0030,2025-08-08,1,12031
PU00249,U0077,P0099,2025-12-16,1,41270
PU00250,U0019,P0085,2025-09-05,1,38249
PU00251,U0039,P0036,2026-04-28,1,55573
PU00252,U0076,P0113,2026-03-01,1,19942
PU00253,U0055,P0072,2025-09-18,1,47988
PU00254,U0045,P0083,2025-11-15,1,9937
PU00255,U0041,P0090,2025-10-28,1,7242
PU00256,U0039,P0049,2026-02-24,1,56785
PU00257,U0061,P0031,2026-02-03,1,10314
PU00258,U0091,P0019,2025-10-04,1,55785
PU00259,U0072,P0053,2025-10-28,1,50246
PU00260,U0018,P0050,2026-01-25,1,14240
